email_text,class
I regret to inform you that I will be unable to attend the classes for the next few days as I am currently feeling under the weather.,sick_leave
I wanted to let you know that I will not be able to attend the classes for the foreseeable future as I am currently dealing with an illness.,sick_leave
I am reaching out to let you know that I will be unable to attend the classes for the foreseeable future as I am currently dealing with a medical issue that prevents me from attending classes.,sick_leave
I regret to inform you that I am unwell and will be unable to attend classes in the coming days.,sick_leave
"Unfortunately, I'm not feeling well at the moment and will have to miss classes until I'm feeling better.",sick_leave
I'm sorry to say that I won't be able to attend classes due to a sudden illness.,sick_leave
I'm writing to let you know that I won't be able to attend classes for the next couple of days due to illness.,sick_leave
I'm afraid I won't be able to make it to classes for the next few days because I'm feeling sick.,sick_leave
My health has taken a turn for the worse and I need to take some time off from classes to focus on getting better.,sick_leave
"I regret to inform you that I will not be able to attend the classes fore the next few days. I am currently not feeling well, and while I am hoping to return to my normal schedule as soon as possible, I do not know how long it will take.",sick_leave
"I am hereby informing you that I will not be able to attend the classes for the next few days because I am not feeling well. This means that my absence will be excused and I will resume attending classes on Monday, September 11th.",sick_leave
"I am sorry to inform you that I will not be able to attend the classes for the next few days. I am currently not feeling well, and I am unable to attend the classes until further notice.",sick_leave
I am writing to inform you that I will not be able to attend the classes for the next few days because I am not feeling well. I apologize for this inconvenience and thank you for your understanding.,sick_leave
"I am sorry to tell you that I not be able attend the classes for the next few days because I am not feeling well. However, it is possible that I will be back by next week.",sick_leave
I am sorry to inform you that I will not be able to attend today's class because I'm feeling a bit sick.,sick_leave
I'm sorry to say that I won't be able to make it to class this morning as I'm feeling a bit unwell. I hope you have a great day!,sick_leave
I'm sorry for missing today's class. I've been feeling a bit sick and didn't want to risk spreading my fever around the classroom.,sick_leave
I hope you're doing well. I just wanted to send you an email to let you know that I won't be able to make it to today's class because I am feeling a bit sick.,sick_leave
I wanted to let you know that I will not be able to make it to class today. I'm feeling a bit sick and I want to focus on resting so I can feel better.,sick_leave
"Sorry to let you know about this, but I will not be able to make it to today's class. I'm feeling a bit sick and don't want to infect others.",sick_leave
I hope you're doing well. I wanted to let you know that I won't be able to make it to the class today. I'm feeling a bit sick and wanted to give myself some time to rest. I'll see you next week.,sick_leave
"I hope you are doing well. I am feeling a bit sick today and won't be able to make it to the class today. I really wanted to come, but it's just not possible under these conditions.",sick_leave
I was planning on attending your class today but I'm feeling a bit sick and need to take some rest. Hope you have an amazing day!,sick_leave
"Unfortunately, I will not be able to attend today's class. It looks like I've caught a cold and I'm feeling a bit sick. Thank you for understanding.",sick_leave
I regret to inform you that I will be absent for a few days as I will be traveling.,travel_leave
I'm sorry to say that I won't be able to attend classes for a few days because I will be traveling.,travel_leave
I am writing this email to inform you that I will not be able to attend classes for a few days due to travel.,travel_leave
I am sorry to inform you that I will be missing classes for a few days as I will be traveling.,travel_leave
I wanted to let you know that I will be absent from classes for a few days due to a travel commitment.,travel_leave
I am sorry to say that I won't be able to attend classes for a few days beacause I will be away on a trip.,travel_leave
I wanted to inform you that I will be absent from classes for a few days as I will be traveling out of town.,travel_leave
I regret to inform you that I will be unable to attend classes for a few days as I will be traveling for personal reasons.,travel_leave
I am writing this email to let you know that I won't be attending classes for a few days/weeks as I will be traveling.,travel_leave
I am writing this email to inform you that I won't be able to atend classes for a few days/weeks because I will be going on a trip.,travel_leave
"I am sending this message to inform you that I won't be able to attend classes for a few days/weeks because I will be going on a trip. I understand that this may come as a surprise, and I apologize for not communicating it sooner.",travel_leave
I am writing to inform you that I will not be able to attend classes for the next two weeks. I will be leaving on [date]. I hope you understand.,travel_leave
I'm writing to let you know that I'll be taking a trip and won't be able to attend classes for a few days or weeks.,travel_leave
I am sending this email to let you know that I will be taking some time off because I will be traveling in the coming days/weeks.,travel_leave
I am sending this email to let you know that I will be absent from classes for a few days/weeks because I will be traveling.,travel_leave
I wanted to inform you that I will not be able to attend classes for a few days/weeks due to my upcoming trip.,travel_leave
I am writing this email to let you know that I will be missing classes for a short time because I will be traveling.,travel_leave
I am reaching out to let you know that I will be unable to attend classes for the next couple of days/weeks because I will be traveling out of the country.,travel_leave
I just wanted to let you know that I will be absent from classes for a few days/weeks due to my travel plans.,travel_leave
I am sending this email to let you know that I will be out of down and unable to attend classes for the next few days/weeks.,travel_leave
I will not be able to attend the classes this week because I will be out of the country due to an emergency that came up.,travel_leave
"Unfortunately, I won’t be able to attend classes this because I will be out of the country due to an emergency.",travel_leave
I am sorry to say that I won't be able to make it to classes this week because I have planned for an unexpected trip.,travel_leave
"I am writing to let you know that I won't be able to attend classes this week because of an emergency that has come up, and I will be out of the country.",travel_leave
